type,latitude,longitude,name,address,seating_type,number_of_seats,Location,Building address,Block ID,Property ID,Base property ID,CLUE small area
Cafes and Restaurants,-37.8092,144.97073,Mellow Beans,38-40 Lonsdale Street MELBOURNE VIC 3000,Indoor,40,"-37.79, 144.93528",75-103 Parsons Street KENSINGTON VIC 3031,2533,615050,615050,Kensington
Takeaway Food Services,-37.79502,144.9414,Melrose Takeaway,35 Melrose Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,4,"-37.79142, 144.9353",72 Stubbs Street KENSINGTON VIC 3031,2539,614669,614669,Kensington
Takeaway Food Services,-37.79901,144.93497,Memphis Blues Cafe,Part 330 Arden Street KENSINGTON VIC 3031,Indoor,10,"-37.79142, 144.9353",72 Stubbs Street KENSINGTON VIC 3031,2539,614669,614669,Kensington
Cafes and Restaurants,-37.81684,144.96356,Mensousai Mugen,11 Bligh Place MELBOURNE VIC 3000,Indoor,40,"-37.79107, 144.93592",25-77 Stubbs Street KENSINGTON VIC 3031,2540,617955,617955,Kensington
Cafes and Restaurants,-37.80493,144.96392,Torissong,143 Queensberry Street CARLTON VIC 3053,Indoor,16,"-37.7996, 144.9299",90-114 Bakehouse Road KENSINGTON VIC 3031,503,612530,109449,Kensington
Cafes and Restaurants,-37.81995,144.94469,TOSS'D,7 Buckley Walk DOCKLANDS VIC 3008,Outdoor,22,"-37.7996, 144.9299",90-114 Bakehouse Road KENSINGTON VIC 3031,503,612530,109449,Kensington
Cafes and Restaurants,-37.8045,144.96598,Toto's Pizza,99 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,70,"-37.79496, 144.93249",429-431 Macaulay Road KENSINGTON VIC 3031,513,597960,597960,Kensington
Cafes and Restaurants,-37.81158,144.96555,Touche Hombre,237 Lonsdale Street MELBOURNE VIC 3000,Indoor & Outdoor,20,"-37.79456, 144.92951",497 Macaulay Road KENSINGTON VIC 3031,524,106320,106320,Kensington
Cafes and Restaurants,-37.81281,144.97011,Tower Shushi,"Shop E3, 12 Southern Cross Lane MELBOURNE VIC 3000",Indoor & Outdoor,56,"-37.79458, 144.92946",499 Macaulay Road KENSINGTON VIC 3031,524,106321,106321,Kensington
"Pubs, Taverns and Bars",-37.80413,144.94879,Townhall Hotel North Melbourne,33 Errol Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,56,"-37.79452, 144.92935",501-503 Macaulay Road KENSINGTON VIC 3031,524,106322,106322,Kensington
Cafes and Restaurants,-37.81247,144.96393,Toyko Pop,Shop LG08 287 Lonsdale Street MELBOURNE VIC 3000,Indoor,60,"-37.78227, 144.91512",Showgrounds Village 320-386 Epsom Road FLEMINGTON VIC 3031,571,602256,602256,Kensington
Cafes and Restaurants,-37.80567,144.95197,279,279 Victoria Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,6,"-37.82098, 144.95651",545-557 Flinders Street MELBOURNE VIC 3000,1,611394,611394,Melbourne CBD
Takeaway Food Services,-37.7947,144.93007,1565,3 Gower Street KENSINGTON VIC 3031,Indoor,20,"-37.82098, 144.95651",545-557 Flinders Street MELBOURNE VIC 3000,1,611394,611394,Melbourne CBD
Cafes and Restaurants,-37.81127,144.96663,@T Ease,195 Lonsdale Street MELBOURNE VIC 3000,Indoor & Outdoor,60,"-37.82109, 144.9559",561-581 Flinders Street MELBOURNE VIC 3000,1,611395,611395,Melbourne CBD
Cafes and Restaurants,-37.81327,144.96175,+39 Pizzeria & Antipasteria,Ground 362 Little Bourke Street MELBOURNE VIC 3000,Indoor,66,"-37.82109, 144.9559",561-581 Flinders Street MELBOURNE VIC 3000,1,611395,611395,Melbourne CBD
Cafes and Restaurants,-37.81247,144.96393,1000 Wat,Shop LG11 287 Lonsdale Street MELBOURNE VIC 3000,Indoor,59,"-37.81868, 144.96865",Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,6,110655,110655,Melbourne CBD
Takeaway Food Services,-37.8157,144.963,11 Inch Pizza,"Shop 5B, 353 Little Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,14,"-37.81868, 144.96865",Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,6,110655,110655,Melbourne CBD
Cafes and Restaurants,-37.80277,144.96395,127 Cafe Go,127 Pelham Street CARLTON VIC 3053,Indoor,42,"-37.81778, 144.96994",Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,6,578319,573333,Melbourne CBD
Cafes and Restaurants,-37.82536,144.90423,14 Days Of Cheese,"Suite 1, Pier 35 263-329 Lorimer Street PORT MELBOURNE VIC 3207",Indoor & Outdoor,30,"-37.81778, 144.96994",Ian Potter Centre: NGV Australia 2 Swanston Street MELBOURNE VIC 3000,6,578320,573333,Melbourne CBD
Cafes and Restaurants,-37.82471,144.94497,18 Pence Lane Coffee & Food,82 River Esplanade DOCKLANDS VIC 3008,Indoor & Outdoor,20,"-37.81778, 144.96994",Ian Potter Centre: NGV Australia 2 Swanston Street MELBOURNE VIC 3000,6,578320,573333,Melbourne CBD
Cafes and Restaurants,-37.8153,144.9661,1932 Cafe & Restaurant,"Shop 10, Ground 93-107 Swanston Street MELBOURNE VIC 3000",Indoor & Outdoor,30,"-37.81778, 144.96994",Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,6,578325,573333,Melbourne CBD
Takeaway Food Services,-37.80168,144.95824,226 Jubang,Part 226 Pelham Street MELBOURNE VIC 3000,Indoor,6,"-37.81778, 144.96994",Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,6,578325,573333,Melbourne CBD
Cafes and Restaurants,-37.80783,144.95763,3 Brothersss,513 Elizabeth Street MELBOURNE VIC 3000,Indoor & Outdoor,14,"-37.81988, 144.95649",517-537 Flinders Lane MELBOURNE VIC 3000,11,103957,103957,Melbourne CBD
Takeaway Food Services,-37.8166,144.9656,3 Lt Monkeys,4 Centre Place MELBOURNE VIC 3000,Indoor & Outdoor,4,"-37.81988, 144.95649",517-537 Flinders Lane MELBOURNE VIC 3000,11,103957,103957,Melbourne CBD
Cafes and Restaurants,-37.81528,144.96446,30 Block Place,30 Block Place MELBOURNE VIC 3000,Indoor & Outdoor,88,"-37.81988, 144.95649",517-537 Flinders Lane MELBOURNE VIC 3000,11,103957,103957,Melbourne CBD
Takeaway Food Services,-37.8109,144.96284,365 Food Store & Raw Taste Project,"Shop 10, Ground 300 Lonsdale Street MELBOURNE VIC 3000",Indoor,12,"-37.82027, 144.95676",524-528 Flinders Street MELBOURNE VIC 3000,11,103990,103990,Melbourne CBD
Cafes and Restaurants,-37.80874,144.96873,65 Degrees,309 Exhibition Street MELBOURNE VIC 3000,Indoor & Outdoor,8,"-37.81973, 144.95827",472-482 Flinders Street MELBOURNE VIC 3000,12,103997,103997,Melbourne CBD
Cafes and Restaurants,-37.82843,144.96802,8 Miles Cafe & Convenience,6-12 Miles Street SOUTHBANK VIC 3006,Indoor,30,"-37.81947, 144.9586",452-470 Flinders Street MELBOURNE VIC 3000,12,103998,103998,Melbourne CBD
Cafes and Restaurants,-37.81806,144.964,8 Ounce,"Shop 1, Ground 300 Flinders Street MELBOURNE VIC 3000",Indoor,80,"-37.81953, 144.95747",26-32 King Street MELBOURNE VIC 3000,12,105399,105399,Melbourne CBD
Cafes and Restaurants,-37.81186,144.93659,8 Street Docklands,"Part Shop 16, Ground 120 Pearl River Road DOCKLANDS VIC 3008",Indoor,40,"-37.81929, 144.9592",15-33 William Street MELBOURNE VIC 3000,12,110091,110091,Melbourne CBD
Takeaway Food Services,-37.79823,144.9467,9 FaceThai Cuisine,362 Abbotsford Street NORTH MELBOURNE VIC 3051,Indoor,10,"-37.81825, 144.96139",381-387 Flinders Lane MELBOURNE VIC 3000,13,103954,103954,Melbourne CBD
Cafes and Restaurants,-37.81715,144.94936,90 Secondi,Shop 1A Concourse 700 Bourke Street DOCKLANDS VIC 3008,Indoor,90,"-37.81793, 144.96455",7-9 Elizabeth Street MELBOURNE VIC 3000,14,103166,103166,Melbourne CBD
Cafes and Restaurants,-37.8057,144.96051,A Cafe Called John,28 Leicester Street CARLTON VIC 3053,Indoor & Outdoor,64,"-37.81742, 144.96433",31-39 Elizabeth Street MELBOURNE VIC 3000,14,103172,103172,Melbourne CBD
Cafes and Restaurants,-37.81594,144.97137,A Hereford Beefstouw,22 Duckboard Place MELBOURNE VIC 3000,Indoor,125,"-37.81742, 144.96433",31-39 Elizabeth Street MELBOURNE VIC 3000,14,103172,103172,Melbourne CBD
Cafes and Restaurants,-37.80032,144.95517,A Treat of France,37 Flemington Road NORTH MELBOURNE VIC 3051,Indoor & Outdoor,4,"-37.81785, 144.96323",335-339 Flinders Lane MELBOURNE VIC 3000,14,103950,103950,Melbourne CBD
Cafes and Restaurants,-37.81305,144.96069,A25 Pizzeria,"Tenancy 3, 91 Hardware Lane MELBOURNE VIC 3000",Indoor & Outdoor,26,"-37.81786, 144.96274",353-355 Flinders Lane MELBOURNE VIC 3000,14,103953,103953,Melbourne CBD
Cafes and Restaurants,-37.81022,144.95821,ABC Chicken,Ground 353 Queen Street MELBOURNE VIC 3000,Indoor,60,"-37.81799, 144.96244",28-38 Queen Street MELBOURNE VIC 3000,14,108114,108114,Melbourne CBD
Cafes and Restaurants,-37.79781,144.97103,Abla's Restaurant,109 Elgin Street CARLTON VIC 3053,Indoor,75,"-37.8183, 144.96258",18 Queen Street MELBOURNE VIC 3000,14,108116,108116,Melbourne CBD
Takeaway Food Services,-37.82652,144.96714,ACCA Bookshop and CafŽ,Part 111 Sturt Street SOUTHBANK VIC 3006,Indoor,10,"-37.8183, 144.96258",18 Queen Street MELBOURNE VIC 3000,14,108116,108116,Melbourne CBD
Cafes and Restaurants,-37.81436,144.94217,Achelya Cafe & Kebab Restaurant,23 Aquitania Way DOCKLANDS VIC 3008,Indoor & Outdoor,100,"-37.81841, 144.96263",10-16 Queen Street MELBOURNE VIC 3000,14,108117,108117,Melbourne CBD
Cafes and Restaurants,-37.81778,144.96994,ACMI Events,"Tenancy 8, Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",Indoor & Outdoor,66,"-37.81766, 144.96509",River View House 274-282 Flinders Street MELBOURNE VIC 3000,15,103328,103328,Melbourne CBD
Cafes and Restaurants,-37.79475,144.96925,Adonai Foods,Shop 478 Drummond Street CARLTON VIC 3053,Indoor & Outdoor,30,"-37.81766, 144.96509",River View House 274-282 Flinders Street MELBOURNE VIC 3000,15,103328,103328,Melbourne CBD
Cafes and Restaurants,-37.80223,144.9501,Affinity On Errol,116 Errol Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,4,"-37.81686, 144.9663",241-243 Flinders Lane MELBOURNE VIC 3000,15,103940,103940,Melbourne CBD
Cafes and Restaurants,-37.81385,144.95588,Agit Melbourne,Ground 552 Lonsdale Street MELBOURNE VIC 3000,Indoor & Outdoor,36,"-37.81706, 144.9659",253-265 Flinders Lane MELBOURNE VIC 3000,15,103942,103942,Melbourne CBD
Cafes and Restaurants,-37.8036,144.94921,Agraba,63 Errol Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,38,"-37.8171, 144.96548",Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,15,103943,103943,Melbourne CBD
Cafes and Restaurants,-37.84459,144.97929,Ai Sushi,"Shop 1, Ground 517 St Kilda Road MELBOURNE VIC 3004",Indoor,28,"-37.8171, 144.96548",Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,15,103943,103943,Melbourne CBD
Cafes and Restaurants,-37.81429,144.94021,Aim Thai,9 Rakaia Way DOCKLANDS VIC 3008,Indoor,36,"-37.8171, 144.96548",Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,15,103943,103943,Melbourne CBD
Cafes and Restaurants,-37.8166,144.9656,Aix Cafe Creperie Salon,24 Centre Place MELBOURNE VIC 3000,Indoor & Outdoor,8,"-37.81761, 144.96563",The Empire Apartments 256-268 Flinders Street MELBOURNE VIC 3000,15,104010,104010,Melbourne CBD
Cafes and Restaurants,-37.80864,144.96846,Aki Sushi,"Shop 2, 321 Exhibition Street MELBOURNE VIC 3000",Indoor,56,"-37.81736, 144.96702",Young And Jacksons Hotel 1-7 Swanston Street MELBOURNE VIC 3000,15,109257,109257,Melbourne CBD
Cafes and Restaurants,-37.80204,144.95446,Akita Japanese Restaurant,34 Courtney Street NORTH MELBOURNE VIC 3051,Indoor,60,"-37.81674, 144.9667",31-41 Swanston Street MELBOURNE VIC 3000,15,109263,109263,Melbourne CBD
Cafes and Restaurants,-37.80783,144.95763,Alex Canteen,157-159 Victoria Street MELBOURNE VIC 3000,Indoor & Outdoor,48,"-37.81674, 144.9667",31-41 Swanston Street MELBOURNE VIC 3000,15,109263,109263,Melbourne CBD
Cafes and Restaurants,-37.84657,144.98282,Alf's Cafe,"Shop 2-3, 55 Commercial Road MELBOURNE VIC 3004",Indoor & Outdoor,244,"-37.81671, 144.96909",164-170 Flinders Street MELBOURNE VIC 3000,16,104019,104019,Melbourne CBD
Cafes and Restaurants,-37.81459,144.95904,Alibi Kitchen & Bar,"Shop 1, Ground 471 Little Bourke Street MELBOURNE VIC 3000",Indoor & Outdoor,12,"-37.81671, 144.96909",164-170 Flinders Street MELBOURNE VIC 3000,16,104019,104019,Melbourne CBD
Cafes and Restaurants,-37.8136,144.95324,All 4 U Cafe & Bar,536 Little Lonsdale Street MELBOURNE VIC 3000,Indoor,40,"-37.81599, 144.96925",Cavendish House Apartments 27-37 Russell Street MELBOURNE VIC 3000,16,108532,108532,Melbourne CBD
Cafes and Restaurants,-37.81535,144.94142,All Smiles,55B Newquay Promenade DOCKLANDS VIC 3008,Indoor & Outdoor,50,"-37.81584, 144.97204",1-9 Exhibition Street MELBOURNE VIC 3000,17,103591,103591,Melbourne CBD
Cafes and Restaurants,-37.81581,144.96743,Allegro Restaurant,Part 205 Collins Street MELBOURNE VIC 3000,Indoor & Outdoor,75,"-37.81584, 144.97204",1-9 Exhibition Street MELBOURNE VIC 3000,17,103591,103591,Melbourne CBD
Cafes and Restaurants,-37.81854,144.95812,Alluvial Restaurant,Part Ground 495 Collins Street MELBOURNE VIC 3000,Indoor,110,"-37.81546, 144.97173",11-37 Exhibition Street MELBOURNE VIC 3000,17,103592,103592,Melbourne CBD
Cafes and Restaurants,-37.81524,144.93958,Almina @ Docklands,106 Newquay Promenade DOCKLANDS VIC 3008,Indoor & Outdoor,70,"-37.81546, 144.97173",11-37 Exhibition Street MELBOURNE VIC 3000,17,103592,103592,Melbourne CBD
Takeaway Food Services,-37.81988,144.95649,Altius Coffee Brewers,"Shop G1, Ground 517 Flinders Lane MELBOURNE VIC 3000",Indoor & Outdoor,8,"-37.81546, 144.97173",11-37 Exhibition Street MELBOURNE VIC 3000,17,103592,103592,Melbourne CBD
Cafes and Restaurants,-37.80538,144.94958,Amiconi,Ground 359 Victoria Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,8,"-37.81543, 144.97139",87-89 Flinders Lane MELBOURNE VIC 3000,17,103920,103920,Melbourne CBD
Cafes and Restaurants,-37.81281,144.97011,Amie's Bakery,"Shop W1, 11 Southern Cross Lane MELBOURNE VIC 3000",Outdoor,33,"-37.81543, 144.97139",87-89 Flinders Lane MELBOURNE VIC 3000,17,103920,103920,Melbourne CBD
Cafes and Restaurants,-37.81314,144.96087,Amigos Hardware Lane,Lower & Upper Ground 75-77 Hardware Lane MELBOURNE VIC 3000,Indoor & Outdoor,100,"-37.81553, 144.9711",95-101 Flinders Lane MELBOURNE VIC 3000,17,103922,103922,Melbourne CBD
Cafes and Restaurants,-37.8041,144.9537,Ample Cafe Bar,123-129 Howard Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,12,"-37.81557, 144.97096",103-105 Flinders Lane MELBOURNE VIC 3000,17,103923,103923,Melbourne CBD
Takeaway Food Services,-37.82238,144.93592,Anchor Eatery,196 River Esplanade DOCKLANDS VIC 3008,Indoor & Outdoor,7,"-37.81557, 144.97096",103-105 Flinders Lane MELBOURNE VIC 3000,17,103923,103923,Melbourne CBD
Cafes and Restaurants,-37.80994,144.97188,Anda Cafe,Part Ground 215 Spring Street MELBOURNE VIC 3000,Indoor & Outdoor,18,"-37.81561, 144.97083",107-109 Flinders Lane MELBOURNE VIC 3000,17,103924,103924,Melbourne CBD
Cafes and Restaurants,-37.81331,144.9527,Angliss Restaurant,Part Ground Building E 550 Little Lonsdale Street MELBOURNE VIC 3000,Indoor,150,"-37.81561, 144.97083",107-109 Flinders Lane MELBOURNE VIC 3000,17,103924,103924,Melbourne CBD
Cafes and Restaurants,-37.81134,144.96796,Ants Bistro,7-9 Corrs Lane MELBOURNE VIC 3000,Indoor,100,"-37.81567, 144.97051",121-123 Flinders Lane MELBOURNE VIC 3000,17,103925,103925,Melbourne CBD
Cafes and Restaurants,-37.81818,144.95436,Apna Desi Indian Restaurant,"Shop 5, 120 Spencer Street MELBOURNE VIC 3000",Indoor,20,"-37.81569, 144.9704",125-127 Flinders Lane MELBOURNE VIC 3000,17,103926,103926,Melbourne CBD
Cafes and Restaurants,-37.80784,144.94663,Apollo Cafe,Ground 109-111 Hawke Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,6,"-37.8158, 144.96988",141-143 Flinders Lane MELBOURNE VIC 3000,17,103930,103930,Melbourne CBD
Cafes and Restaurants,-37.80329,144.95861,Arabesque,642-644 Elizabeth Street MELBOURNE VIC 3000,Indoor & Outdoor,80,"-37.81641, 144.97009",The Duke 142-148 Flinders Street MELBOURNE VIC 3000,17,104021,104021,Melbourne CBD
Cafes and Restaurants,-37.81868,144.96578,Arbory Bar and Eatery,2 Flinders Walk MELBOURNE VIC 3000,Outdoor,367,"-37.81637, 144.97034",Yarra View Apartments 138-140 Flinders Street MELBOURNE VIC 3000,17,104022,104022,Melbourne CBD
Takeaway Food Services,-37.8136,144.96107,Area 4,390 Little Bourke Street MELBOURNE VIC 3000,Indoor,18,"-37.81601, 144.97116",104-112 Flinders Street MELBOURNE VIC 3000,17,104026,104026,Melbourne CBD
Cafes and Restaurants,-37.79408,144.92914,Argi,512 Macaulay Road KENSINGTON VIC 3031,Indoor & Outdoor,24,"-37.81594, 144.97137",100-102 Flinders Street MELBOURNE VIC 3000,17,104027,104027,Melbourne CBD
"Pubs, Taverns and Bars",-37.82072,144.9663,Aria Bar & Lounge,Part Podium 1 Southgate Avenue SOUTHBANK VIC 3006,Indoor,63,"-37.81559, 144.97132",11-15 Duckboard Place MELBOURNE VIC 3000,17,110277,110277,Melbourne CBD
Cafes and Restaurants,-37.81152,144.97073,Arlechin,"Tenancy 3-4, Ground 168 Exhibition Street MELBOURNE VIC 3000",Indoor & Outdoor,70,"-37.81494, 144.97313",37-45 Flinders Lane MELBOURNE VIC 3000,18,103915,103915,Melbourne CBD
Cafes and Restaurants,-37.81697,144.95677,Aroma Restaurant,"Shop 2-3, 540 Little Collins Street MELBOURNE VIC 3000",Indoor,40,"-37.81515, 144.97224",75-77 Flinders Lane MELBOURNE VIC 3000,18,103919,103919,Melbourne CBD
Cafes and Restaurants,-37.81269,144.95996,Aroma Studio,250A Queen Street MELBOURNE VIC 3000,Indoor,16,"-37.81499, 144.97379",1-9 Spring Street MELBOURNE VIC 3000,18,108975,108975,Melbourne CBD
Cafes and Restaurants,-37.83775,144.97704,Aromatic Espresso,Part Ground 417 St Kilda Road MELBOURNE VIC 3004,Indoor,40,"-37.81486, 144.97284",55 Flinders Lane MELBOURNE VIC 3000,18,111021,111021,Melbourne CBD
Cafes and Restaurants,-37.79363,144.94952,Aruba Espresso Cafe,"Tenancy 2, Ground 50 Flemington Road PARKVILLE VIC 3052",Indoor,32,"-37.81546, 144.97272",46-74 Flinders Street MELBOURNE VIC 3000,18,111071,111071,Melbourne CBD
Cafes and Restaurants,-37.82083,144.96383,Asado Bar y Grill,Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,Indoor & Outdoor,30,"-37.81937, 144.95521",589-605 Collins Street MELBOURNE VIC 3000,21,102106,102106,Melbourne CBD
Cafes and Restaurants,-37.8109,144.96284,Asian Beer Cafe,"Shop 311, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,560,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Takeaway Food Services,-37.81813,144.94735,Asian Delights Docklands,Shop 4 Level 4 Concourse 744 Bourke Street DOCKLANDS VIC 3008,Indoor,18,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.81431,144.97263,Asian Pavilion,"Shop 52, 45 Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,14,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Takeaway Food Services,-37.80263,144.96729,Assembly Store,62 Pelham Street CARLTON VIC 3053,Indoor & Outdoor,15,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.81866,144.95025,Asuka Sushi,"Shop 21, Level 4 717 Bourke Street DOCKLANDS VIC 3008",Indoor & Outdoor,28,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.81271,144.95492,Atrium 485,Part Ground North Tower 485 La Trobe Street MELBOURNE VIC 3000,Indoor,32,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.80246,144.94946,Auction Rooms,103-107 Errol Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,104,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.79844,144.95271,Avist Cafe,101 Flemington Road NORTH MELBOURNE VIC 3051,Indoor & Outdoor,34,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Takeaway Food Services,-37.81499,144.97379,Axil Coffee Roasters,Ground 1 Spring Street MELBOURNE VIC 3000,Indoor & Outdoor,16,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.81281,144.97011,Axil Coffee Roasters,"Shop E6, 6 Southern Cross Lane MELBOURNE VIC 3000",Indoor & Outdoor,23,"-37.81842, 144.95855",471-485 Collins Street MELBOURNE VIC 3000,22,102102,102102,Melbourne CBD
Takeaway Food Services,-37.80994,144.96817,Axil Coffee Roasters (Wesley Place),Kiosk Lobby 130 Lonsdale Street MELBOURNE VIC 3000,Indoor,26,"-37.81854, 144.95812",487-503 Collins Street MELBOURNE VIC 3000,22,102103,102103,Melbourne CBD
Cafes and Restaurants,-37.82998,144.96796,Ayams Chef,67-69 Coventry Street SOUTHBANK VIC 3006,Indoor & Outdoor,8,"-37.81866, 144.95747",Podium Rialto 525 Collins Street MELBOURNE VIC 3000,22,705123,102104,Melbourne CBD
Cafes and Restaurants,-37.81098,144.95996,Azuo,321 La Trobe Street MELBOURNE VIC 3000,Indoor,27,"-37.81866, 144.95747",Podium Rialto 525 Collins Street MELBOURNE VIC 3000,22,705123,102104,Melbourne CBD
Cafes and Restaurants,-37.80881,144.96877,B & B' Guette Cafe,305-307 Exhibition Street MELBOURNE VIC 3000,Indoor & Outdoor,35,"-37.81745, 144.96111",405-407 Collins Street MELBOURNE VIC 3000,23,102096,102096,Melbourne CBD
Cafes and Restaurants,-37.80919,144.96175,B Churrasco,Level 1 61-69 A'Beckett Street MELBOURNE VIC 3000,Indoor,180,"-37.81745, 144.96111",405-407 Collins Street MELBOURNE VIC 3000,23,102096,102096,Melbourne CBD
Cafes and Restaurants,-37.81492,144.94067,B Club Cafe,43 Caravel Lane DOCKLANDS VIC 3008,Indoor & Outdoor,30,"-37.81747, 144.96087",415-417 Collins Street MELBOURNE VIC 3000,23,102098,102098,Melbourne CBD
"Pubs, Taverns and Bars",-37.8109,144.96284,B. Lucky & Sons,"Shop 307, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Indoor,49,"-37.81802, 144.9599",441-447 Collins Street MELBOURNE VIC 3000,23,708081,102100,Melbourne CBD
Cafes and Restaurants,-37.80883,144.94863,B.cuz Coffee & Eatery,Ground 505-507 Spencer Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,20,"-37.81799, 144.96106",388-394 Flinders Lane MELBOURNE VIC 3000,23,606103,606103,Melbourne CBD
Cafes and Restaurants,-37.82288,144.95248,Bababoi,"Unit 16, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Indoor & Outdoor,28,"-37.81705, 144.96327",327-343 Collins Street MELBOURNE VIC 3000,24,102089,102089,Melbourne CBD
Cafes and Restaurants,-37.8343,144.98195,Bacash,175-177 Domain Road SOUTH YARRA VIC 3141,Indoor & Outdoor,16,"-37.8173, 144.96279",351-357 Collins Street MELBOURNE VIC 3000,24,102091,102091,Melbourne CBD
Cafes and Restaurants,-37.82316,144.95833,Baci,"Shop 21, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Indoor & Outdoor,100,"-37.8173, 144.96279",351-357 Collins Street MELBOURNE VIC 3000,24,102091,102091,Melbourne CBD
Takeaway Food Services,-37.8124,144.97111,Back Velvet Coffee,Part Ground 136 Exhibition Street MELBOURNE VIC 3000,Indoor,14,"-37.81728, 144.96244",359-373 Collins Street MELBOURNE VIC 3000,24,102092,102092,Melbourne CBD
Takeaway Food Services,-37.8168,144.96,Bagelworks,451 Little Collins Street MELBOURNE VIC 3000,Indoor,22,"-37.81719, 144.96391",302-308 Flinders Lane MELBOURNE VIC 3000,24,110765,110765,Melbourne CBD
Cafes and Restaurants,-37.81102,144.97111,Bamboo House,"Shop 1, 47-55 Little Bourke Street MELBOURNE VIC 3000",Indoor,120,"-37.81719, 144.96391",302-308 Flinders Lane MELBOURNE VIC 3000,24,110765,110765,Melbourne CBD
Cafes and Restaurants,-37.81148,144.96927,Bangkok Jam,107 Little Bourke Street MELBOURNE VIC 3000,Indoor,60,"-37.81664, 144.96547",258-260 Flinders Lane MELBOURNE VIC 3000,25,101788,101788,Melbourne CBD
Cafes and Restaurants,-37.82411,144.95061,BangPop,35 South Wharf Promenade SOUTH WHARF VIC 3006,Indoor & Outdoor,109,"-37.81664, 144.96547",258-260 Flinders Lane MELBOURNE VIC 3000,25,101788,101788,Melbourne CBD
Cafes and Restaurants,-37.81465,144.95707,Banoi,Part 530 Little Bourke Street MELBOURNE VIC 3000,Indoor & Outdoor,8,"-37.8166, 144.9656",252-254 Flinders Lane MELBOURNE VIC 3000,25,101789,101789,Melbourne CBD
"Pubs, Taverns and Bars",-37.81354,144.96744,Bar Ampere,16 Russell Place MELBOURNE VIC 3000,Indoor & Outdoor,78,"-37.8166, 144.9656",252-254 Flinders Lane MELBOURNE VIC 3000,25,101789,101789,Melbourne CBD
"Pubs, Taverns and Bars",-37.81208,144.97235,Bar Carlo / SDADM Pty Ltd,Ground 20 Meyers Place MELBOURNE VIC 3000,Indoor,35,"-37.8166, 144.9656",252-254 Flinders Lane MELBOURNE VIC 3000,25,101789,101789,Melbourne CBD
"Pubs, Taverns and Bars",-37.81129,144.96991,Bar Clara,"Shop 5, 83-89 Little Bourke Street MELBOURNE VIC 3000",Indoor & Outdoor,32,"-37.8166, 144.9656",252-254 Flinders Lane MELBOURNE VIC 3000,25,101789,101789,Melbourne CBD
"Pubs, Taverns and Bars",-37.81539,144.95497,Bar Humbug,586 Little Bourke Street MELBOURNE VIC 3000,Indoor,45,"-37.8166, 144.9656",252-254 Flinders Lane MELBOURNE VIC 3000,25,101789,101789,Melbourne CBD
